id,url,airframe,make,model,category,categoryReadable,callsign,registration,operatorId,operatorName
2084,https://arena.nafc.org.au/resource/api/ext/aircraft/2084,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HKA-(B2),ZK-HKA,454,Anderson Helicopters Limited
2053,https://arena.nafc.org.au/resource/api/ext/aircraft/2053,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,HKC-(B3),ZK-HKC,441,Helicopter Services (BOP) Limited
2897,https://arena.nafc.org.au/resource/api/ext/aircraft/2897,HELICOPTER,BELL HELICOPTER CO,206L-1,RotType3,RW - Type 3 Light,HKE-(LR),ZK-HKE,620,Helicopter Charter Karamea
2061,https://arena.nafc.org.au/resource/api/ext/aircraft/2061,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HKQ-(B2),ZK-HKQ,446,Country Helicopters Limited
2093,https://arena.nafc.org.au/resource/api/ext/aircraft/2093,HELICOPTER,BELL HELICOPTER CO,206B,RotType3,RW - Type 3 Light,HKR-(JR),ZK-HKR,456,Beck Helicopters Limited
2089,https://arena.nafc.org.au/resource/api/ext/aircraft/2089,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369D,RotType3,RW - Type 3 Light,HKS-(500),ZK-HKS,455,Aspiring Helicopters Limited
2167,https://arena.nafc.org.au/resource/api/ext/aircraft/2167,HELICOPTER,BELL HELICOPTER CO,206L-1,RotType3,RW - Type 3 Light,HKT-(LR),ZK-HTK,478,Highland Helicopters
2057,https://arena.nafc.org.au/resource/api/ext/aircraft/2057,HELICOPTER,EUROCOPTER,EC 130 B4,RotType3,RW - Type 3 Light,HKW-(EC130),ZK-HKW,444,Way to Go Heliservices
2531,https://arena.nafc.org.au/resource/api/ext/aircraft/2531,HELICOPTER,EUROCOPTER,AS.350B2,RotType3,RW - Type 3 Light,HMD-(B2),ZK-HMD,494,Southern Lakes Helicopters Limited
2828,https://arena.nafc.org.au/resource/api/ext/aircraft/2828,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,HMG-(BA),ZK-HMG,469,Helicopters South Canterbury 2015 Limited
2051,https://arena.nafc.org.au/resource/api/ext/aircraft/2051,HELICOPTER,AEROSPATIALE,355F1,RotType3,RW - Type 3 Light,HML-(355),ZK-HML,440,Heli Glenorchy/Heliworks Queenstown
2104,https://arena.nafc.org.au/resource/api/ext/aircraft/2104,HELICOPTER,MESSERSCHMITT-BOLKOW-BLOHM GMBH,MBB BK 117 B-2,RotType2,RW - Type 2 Medium,HMR-(BK),ZK-HMR,461,GCH Aviation
2024,https://arena.nafc.org.au/resource/api/ext/aircraft/2024,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HNC-(B2),ZK-HNC,435,Christchurch Helicopters
2023,https://arena.nafc.org.au/resource/api/ext/aircraft/2023,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HND-(B2),ZK-HND,435,Christchurch Helicopters
2150,https://arena.nafc.org.au/resource/api/ext/aircraft/2150,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HNL-(B2),ZK-HNL,472,Heli Sika Limited
2529,https://arena.nafc.org.au/resource/api/ext/aircraft/2529,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,HNT-(500),ZK-HNT,498,Wairarapa Helicopters Limited
2066,https://arena.nafc.org.au/resource/api/ext/aircraft/2066,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HNU-(B2),ZK-HNU,448,Te Anau Helicopter Services Ltd
2027,https://arena.nafc.org.au/resource/api/ext/aircraft/2027,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,HNV-(520N),ZK-HNV,435,Christchurch Helicopters
2080,https://arena.nafc.org.au/resource/api/ext/aircraft/2080,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E,RotType3,RW - Type 3 Light,HNW-(500),ZK-HNW,452,Alpine Helicopters
2762,https://arena.nafc.org.au/resource/api/ext/aircraft/2762,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HNX-(B2),ZK-HNX,465,Helicharter Nelson
2580,https://arena.nafc.org.au/resource/api/ext/aircraft/2580,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,HOC-(JR),ZK-HOC,456,Beck Helicopters Limited
2074,https://arena.nafc.org.au/resource/api/ext/aircraft/2074,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,MD530F,RotType3,RW - Type 3 Light,HOL-(500),ZK-HOL,451,Air West Helicopters Limited
2591,https://arena.nafc.org.au/resource/api/ext/aircraft/2591,HELICOPTER,AEROSPATIALE,AS 350 B2,RotType3,RW - Type 3 Light,HOP-(B2),ZK-HOP,532,Helisika Helicopters
2841,https://arena.nafc.org.au/resource/api/ext/aircraft/2841,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369D,RotType3,RW - Type 3 Light,HOT-(500),ZK-HOT,452,Alpine Helicopters
2129,https://arena.nafc.org.au/resource/api/ext/aircraft/2129,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HPE-(B2),ZK-HPE,467,Helicopters Nelson Limited
2548,https://arena.nafc.org.au/resource/api/ext/aircraft/2548,HELICOPTER,AEROSPATIALE INDUSTRIES,AS.355F1,RotType3,RW - Type 3 Light,HPI-(355),ZK-HPI,565,Nelson Tasman Air & Inflite Charters
2222,https://arena.nafc.org.au/resource/api/ext/aircraft/2222,HELICOPTER,BELL HELICOPTER CO,206B,RotType3,RW - Type 3 Light,HPK-(JR),ZK-HPK,498,Wairarapa Helicopters Limited
2574,https://arena.nafc.org.au/resource/api/ext/aircraft/2574,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,HPK-(JR),ZK-HPK,443,Tararua Heliwork Limited
2600,https://arena.nafc.org.au/resource/api/ext/aircraft/2600,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HQD-(B2),ZK-HQD,574,Eastern Airwork Ltd
2128,https://arena.nafc.org.au/resource/api/ext/aircraft/2128,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HQN-(B2),ZK-HQN,467,Helicopters Nelson Limited
2110,https://arena.nafc.org.au/resource/api/ext/aircraft/2110,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,HQT-(BA),ZK-HQT,461,GCH Aviation
2220,https://arena.nafc.org.au/resource/api/ext/aircraft/2220,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,HRB-(B3),ZK-HRB,497,Charteris Choppers
2021,https://arena.nafc.org.au/resource/api/ext/aircraft/2021,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,HRF- (369),ZK-HRF,434,Mid West Helicopters
2077,https://arena.nafc.org.au/resource/api/ext/aircraft/2077,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HRM-(B2),ZK-HRM,452,Alpine Helicopters
2551,https://arena.nafc.org.au/resource/api/ext/aircraft/2551,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,HRQ-(BA),ZK-HRQ,449,The Helicopter Line
2235,https://arena.nafc.org.au/resource/api/ext/aircraft/2235,HELICOPTER,BELL HELICOPTER CO,206L-4,RotType3,RW - Type 3 Light,HRX-(LR),ZK-HRX,502,Heli Resources 2012 Limited
2028,https://arena.nafc.org.au/resource/api/ext/aircraft/2028,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E,RotType3,RW - Type 3 Light,HSC-(500),ZK-HSC,435,Christchurch Helicopters
2497,https://arena.nafc.org.au/resource/api/ext/aircraft/2497,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,HSE-(BA),ZK-HSE,439,Precision Helicopters	 PHL
2071,https://arena.nafc.org.au/resource/api/ext/aircraft/2071,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HSM-(B2),ZK-HSM,449,The Helicopter Line
2198,https://arena.nafc.org.au/resource/api/ext/aircraft/2198,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B3,RotType3,RW - Type 3 Light,HSS-(B3),ZK-HSS,492,Skywork Helicopters Limited
2613,https://arena.nafc.org.au/resource/api/ext/aircraft/2613,HELICOPTER,BELL HELICOPTER CO,206L-3,RotType3,RW - Type 3 Light,HTA-(LR),ZK-HTA,576,Marlborough Helicopters
2767,https://arena.nafc.org.au/resource/api/ext/aircraft/2767,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B2,RotType3,RW - Type 3 Light,HTD (B2),ZK-HTD,448,Te Anau Helicopter Services Ltd
