id,entityID,url,jurisdiction,name,note,lat,long,locality,managingOrganisation,contactName,contactNumber,classification,status,lastReview,adviceToPilots,hasAirfield,hasHelipad,basePhoneNumber
-224,39572,https://arena.nafc.org.au/register/api/locations/-224,NSW,GLENORIE,null,-33.6022,151.0023,null,null,null,null,null,Unknown,null,null,null,null,null
-223,39571,https://arena.nafc.org.au/register/api/locations/-223,NSW,GLENDON BROOK,null,-32.5167,151.3332,null,null,null,null,null,Unknown,null,null,null,null,null
-222,39570,https://arena.nafc.org.au/register/api/locations/-222,NSW,GLENBROOK,null,-33.8883,150.3667,null,null,null,null,null,Unknown,null,null,null,null,null
-221,39569,https://arena.nafc.org.au/register/api/locations/-221,NSW,GLEN INNES SHOWGROUND,null,-29.7357,151.7333,null,null,null,null,null,Unknown,null,null,null,null,null
-220,39568,https://arena.nafc.org.au/register/api/locations/-220,NSW,GLEN INNES AIRPORT,null,-29.6740,151.6935,null,null,null,null,null,Unknown,null,null,null,null,null
-219,39567,https://arena.nafc.org.au/register/api/locations/-219,NSW,GLEN INNES,null,-29.7357,151.7333,null,null,null,null,null,Unknown,null,null,null,null,null
-218,39566,https://arena.nafc.org.au/register/api/locations/-218,NSW,GLEN DAVIS HELIPAD,null,-33.1203,150.2758,null,null,null,null,null,Unknown,null,null,null,null,null
-217,39565,https://arena.nafc.org.au/register/api/locations/-217,NSW,GLEN DAVIS,null,-33.1257,150.2835,null,null,null,null,null,Unknown,null,null,null,null,null
-216,39564,https://arena.nafc.org.au/register/api/locations/-216,NSW,GLEN ALICE,null,-33.0500,150.2167,null,null,null,null,null,Unknown,null,null,null,null,null
-215,39563,https://arena.nafc.org.au/register/api/locations/-215,NSW,GILGANDRA,null,-31.7125,148.6595,null,null,null,null,null,Unknown,null,null,null,null,null
-214,39562,https://arena.nafc.org.au/register/api/locations/-214,NSW,GILGAI,null,-29.8530,151.1197,null,null,null,null,null,Unknown,null,null,null,null,null
-213,39561,https://arena.nafc.org.au/register/api/locations/-213,NSW,GEORGES CREEK HELI PAD,null,-30.6250,152.2255,null,null,null,null,null,Unknown,null,null,null,null,null
-212,39560,https://arena.nafc.org.au/register/api/locations/-212,NSW,GELSTON PARK,null,-35.2490,147.3468,null,null,null,null,null,Unknown,null,null,null,null,null
-211,39559,https://arena.nafc.org.au/register/api/locations/-211,NSW,GAREMA,null,-33.5542,147.9405,null,null,null,null,null,Unknown,null,null,null,null,null
-210,39558,https://arena.nafc.org.au/register/api/locations/-210,NSW,HAYES (GALSTON) OVAL,null,-33.6580,151.0395,null,Hornsby Shire Council,null,null,null,Current,null,Public playing field in regular use.,null,null,null
-209,39557,https://arena.nafc.org.au/register/api/locations/-209,NSW,FRUIT BOWL HELIPAD,null,-33.5097,150.5597,null,null,null,null,null,Unknown,null,null,null,null,null
-208,39556,https://arena.nafc.org.au/register/api/locations/-208,NSW,FOSTER OVAL,null,-32.1743,152.4940,null,null,null,null,null,Unknown,null,null,null,null,null
-207,39555,https://arena.nafc.org.au/register/api/locations/-207,NSW,FORESTVILLE,null,-33.7567,151.2118,null,null,null,null,null,Unknown,null,null,null,null,null
-206,39554,https://arena.nafc.org.au/register/api/locations/-206,NSW,FOREST HILL,null,-35.1500,147.4667,null,null,null,null,null,Unknown,null,null,null,null,null
